date,rc_real_gold_252d,rc_dollar_gold_252d
2024-06-18,-0.3419025789815916,-0.37152909529125755
2024-06-19,-0.34201627365121606,-0.3715819194722546
2024-06-20,-0.34178909758258835,-0.36698724453568526
2024-06-21,-0.34024982507195506,-0.36149552428442144
2024-06-24,-0.3388804327724046,-0.36122428673899826
2024-06-25,-0.3384261860018589,-0.35908377308307604
2024-06-26,-0.341267134261833,-0.3615479846076243
2024-06-27,-0.34257766563365083,-0.35905463180242936
2024-06-28,-0.33234778204421267,-0.3481171060494273
2024-07-01,-0.33114039786897076,-0.348576855740672
2024-07-02,-0.329575645807512,-0.34936511197472386
2024-07-03,-0.3321653625459147,-0.35425733330222914
2024-07-04,-0.33397896719891385,-0.3535852218754907
2024-07-05,-0.3411628696152467,-0.35718453781139964
2024-07-08,-0.34248371511646303,-0.3516424601876874
2024-07-09,-0.3426316543666887,-0.350660156157023
2024-07-10,-0.3439159186365279,-0.35262831502997477
2024-07-11,-0.3511820438397611,-0.3589383826976537
2024-07-12,-0.3505140448480756,-0.35718954630568667
2024-07-15,-0.33730850627792597,-0.3566188858061574
2024-07-16,-0.3392123318958528,-0.35062779449906395
2024-07-17,-0.3387591658073932,-0.34845714199317285
2024-07-18,-0.3324899339373619,-0.3430478419319123
2024-07-19,-0.3339120297664904,-0.34533994418213354
2024-07-22,-0.33541341045460077,-0.34534214061656726
2024-07-23,-0.3374802923204484,-0.34450169555349075
2024-07-24,-0.3382915112981909,-0.3444846307910568
2024-07-25,-0.33601083322219993,-0.33777954731596016
2024-07-26,-0.33972871792492226,-0.3370739633651109
2024-07-29,-0.34013113377862686,-0.33884686618317117
2024-07-30,-0.3409632201107327,-0.3371544639634362
2024-07-31,-0.34441029345004265,-0.34578999355025974
2024-08-01,-0.3402136375057235,-0.34620153923544655
2024-08-02,-0.33667940821097647,-0.3429688198732433
2024-08-05,-0.32851780745688647,-0.34263026228437515
2024-08-06,-0.33247805113206697,-0.34277615336293416
2024-08-07,-0.334079209603425,-0.34258223053974207
2024-08-08,-0.3295461011761369,-0.3430989270151157
2024-08-09,-0.323833240682636,-0.3398947103034097
2024-08-12,-0.3283830883064162,-0.3313687829368551
2024-08-13,-0.3273535276827391,-0.33000420024361643
2024-08-14,-0.3272546805920482,-0.3202564286997219
2024-08-15,-0.32296029749542915,-0.31969316380063323
2024-08-16,-0.31807333140436694,-0.32146056372838716
2024-08-19,-0.3177850743736757,-0.3177573587005349
2024-08-20,-0.319099021611998,-0.31914936617401407
2024-08-21,-0.3182769189316124,-0.31931808501073883
2024-08-22,-0.3178348538963361,-0.3201563279936517
2024-08-23,-0.32187893594565886,-0.3251956930769303
2024-08-26,-0.32253022257857294,-0.3242724216223446
2024-08-27,-0.32253248287491637,-0.3237439593373771
