date,e_level,z_level
2023-10-23,2.6178453435239033e+272,10.092762758321678
2023-10-24,2.882838802672273e+273,10.055972297745196
2023-10-25,3.3388798791462454e+274,10.335335830071335
2023-10-26,3.7501766827275333e+275,10.164566233994854
2023-10-27,4.268848246276372e+276,10.238681070378881
2023-10-30,4.835882931180281e+277,10.211908914800992
2023-10-31,5.479002488892519e+278,10.21268361746813
2023-11-01,5.890314459021257e+279,9.925072260561736
2023-11-02,6.078913688045321e+280,9.705763922500235
2023-11-03,6.011798298669429e+281,9.481346486683101
2023-11-06,6.031528445848842e+282,9.556578385499256
2023-11-07,5.844088459099717e+283,9.37509094465634
2023-11-08,5.425347089297119e+284,9.156133860817377
2023-11-09,5.43887106468943e+285,9.552448582459919
2023-11-10,5.316408869866583e+286,9.42063636107537
2023-11-13,5.351250992487247e+287,9.57368108448223
2023-11-14,5.050929520866657e+288,9.240553384169456
2023-11-15,4.866960380868505e+289,9.346535034127845
2023-11-16,4.72590871264609e+290,9.386258730711928
2023-11-17,4.532256861689013e+291,9.322142253320955
2023-11-20,4.226722742107024e+292,9.17925247498317
2023-11-21,4.1201449829875585e+293,9.406299890927583
2023-11-22,3.9908424200372167e+294,9.373457137836844
2023-11-23,3.865597761081652e+295,9.373457137836844
2023-11-24,3.8665911911062714e+296,9.540738926316923
2023-11-27,3.8711140268460154e+297,9.54552105298917
2023-11-28,3.865780309734846e+298,9.532167513991677
2023-11-29,3.7712540043521105e+299,9.410355660435872
2023-11-30,3.7975819658005337e+300,9.57591364835141
2023-12-01,3.7132740081681946e+301,9.422311652004948
2023-12-04,3.583803453792824e+302,9.354854600193546
2023-12-05,3.338407721150372e+303,9.173475096404543
2023-12-06,3.085004438716962e+304,9.13287779043787
2023-12-07,2.8495781247989012e+305,9.130645541278094
2023-12-08,2.6160372247902644e+306,9.099690614863599
2023-12-11,2.365090910240845e+307,9.022604251128971
2023-12-12,inf,9.006110666538136
2023-12-13,inf,8.896677620787814
2023-12-14,inf,8.456174882229924
2023-12-15,inf,8.327657432022013
2023-12-18,inf,8.513134138140696
2023-12-19,inf,8.576503805246487
2023-12-20,inf,8.340599959562955
2023-12-21,inf,8.490382319333222
2023-12-22,inf,8.557929831260875
2023-12-25,inf,8.557929831260875
2023-12-26,inf,8.641974245495886
2023-12-27,inf,8.50576085089815
2023-12-28,inf,8.532283183182656
2023-12-29,inf,8.613050267574724
2024-01-01,inf,8.613050267574724
2024-01-02,inf,8.669141730138202
2024-01-03,inf,8.511612695731419
2024-01-04,inf,8.66938935858206
2024-01-05,inf,8.810555471482473
2024-01-08,inf,8.611465013310253
2024-01-09,inf,8.657094216600418
2024-01-10,inf,8.683024827993409
2024-01-11,inf,8.56324570653674
2024-01-12,inf,8.492213138044212
2024-01-15,inf,8.492213138044212
2024-01-16,inf,8.618379011609534
2024-01-17,inf,8.578420751261563
2024-01-18,inf,8.670861523580873
2024-01-19,inf,8.721601554744392
2024-01-22,inf,8.650256261129528
2024-01-23,inf,8.840470670419514
2024-01-24,inf,8.79076275806833
2024-01-25,inf,8.777719838058262
2024-01-26,inf,8.760725427854387
2024-01-29,inf,8.681237723017013
2024-01-30,inf,8.737245042949894
